id,area,subsystem,risk_type,priority,prompt
TX-AUDIT-001,Orders,Order creation,money_integrity,Critical,"Audit the order creation flow from cart/checkout request to database insert. Confirm subtotal, tax, tip, delivery fee, service fee, store commission, affiliate attribution, delivery mode, customer id, store id, and item snapshots are persisted exactly once and cannot drift from the payment session."
TX-AUDIT-002,Orders,Order creation,idempotency,Critical,Find every code path that can create an Order. Verify Stripe/session/webhook/client retries cannot create duplicate paid orders. Recommend a single idempotency key strategy and tests.
TX-AUDIT-003,Orders,Order creation,data_snapshot,High,"Verify order items snapshot product title, price, quantity, modifiers, and item id at checkout time. Confirm later product edits cannot mutate historical order totals."
TX-AUDIT-004,Orders,Order creation,validation,High,"Trace validation for storeId, itemId, item ownership, item active status, sold-out status, and store published/readiness state before allowing checkout."
TX-AUDIT-005,Orders,Order status,state_machine,Critical,"Map every allowed order status transition. Find any route or service that can skip required states, regress status, or transition canceled/refunded orders incorrectly."
TX-AUDIT-006,Orders,Order status,duplication,High,Search for duplicate status transition logic across routes/services. Propose one canonical OrderService transition function and list callers that should use it.
TX-AUDIT-007,Orders,Order events,auditability,Critical,"Verify every financially meaningful order transition writes an OrderEvent/audit record with actor, previous status, next status, timestamp, and reason."
TX-AUDIT-008,Orders,Order history,authorization,Critical,"Audit order history endpoints. Confirm customers can only view their own orders, vendors only their store orders, staff only permitted stores, riders only assigned deliveries, and admins all."
TX-AUDIT-009,Orders,Order cancellation,state_machine,Critical,Review cancellation eligibility rules. Confirm orders cannot be canceled after final states unless explicit refund/admin paths exist.
TX-AUDIT-010,Orders,Order cancellation,refunds,Critical,"Trace cancellation to refund behavior. Confirm canceled paid orders produce expected refund or no-refund decisions, and unpaid orders do not trigger refund attempts."
TX-AUDIT-011,Orders,Order totals,money_integrity,Critical,"Recalculate total cents from order line items, fees, tax, tip, delivery fee, discounts, and commissions. Identify any code that derives totals using subtraction or ambiguous service fee fields."
TX-AUDIT-012,Orders,Order totals,rounding,High,"Find all money math. Confirm all amounts are integer cents, no floating-point currency math, and percent fees use deterministic rounding rules."
TX-AUDIT-013,Orders,Order lifecycle,concurrency,High,Check whether two actors can update the same order simultaneously. Recommend transaction boundaries or optimistic checks for status transitions.
TX-AUDIT-014,Orders,Order query,performance,Medium,"Audit vendor/customer order list queries for N+1 issues, missing indexes, excessive includes, and expensive filters."
TX-AUDIT-015,Orders,Order data model,code_drift,High,"Compare Prisma Order model fields to API response types and frontend expectations. Identify unused, duplicate, or misleading monetary fields."
TX-AUDIT-016,Payments,Stripe checkout,money_integrity,Critical,Trace Stripe Checkout session creation. Confirm the amount sent to Stripe exactly matches the order/cart server calculation and cannot be overridden by client input.
TX-AUDIT-017,Payments,Stripe checkout,security,Critical,Identify every field accepted from the client during checkout. Mark which fields are trusted vs recalculated server-side. Recommend rejecting or ignoring unsafe client-provided prices/fees.
TX-AUDIT-018,Payments,Stripe webhooks,idempotency,Critical,"Audit Stripe webhook handling for idempotency. Confirm each event id is processed once and repeated webhook deliveries cannot duplicate orders, commissions, payouts, or events."
TX-AUDIT-019,Payments,Stripe webhooks,signature,Critical,Verify webhook signature validation uses raw body correctly and rejects unsigned or malformed events in production.
TX-AUDIT-020,Payments,Payment status,state_machine,Critical,Map payment states against order states. Confirm paid/captured/refunded/failed statuses cannot contradict order status.
TX-AUDIT-021,Payments,Payment intent,duplication,High,"Find duplicated payment/session creation logic across payment, checkout, and order routes. Propose one canonical payment service."
TX-AUDIT-022,Payments,Payment metadata,auditability,High,Verify Stripe metadata includes stable order/session/store/customer references required to reconcile payments and orders.
TX-AUDIT-023,Payments,Payment reconciliation,money_integrity,Critical,Design an audit that compares local paid orders against Stripe sessions/intents. Identify fields needed for reconciliation and gaps.
TX-AUDIT-024,Payments,Failed payments,state_machine,High,"Review failed, expired, abandoned, and canceled checkout flows. Confirm unpaid orders are not treated as payable, deliverable, commissionable, or analytics revenue."
TX-AUDIT-025,Payments,Checkout redirects,security,Medium,Review success/cancel redirect handling. Confirm redirects do not mark orders paid without webhook/server verification.
TX-AUDIT-026,Payments,Payment errors,observability,Medium,"Audit payment error logging. Confirm logs include safe identifiers but never leak Stripe secrets, card data, or sensitive customer data."
TX-AUDIT-027,Payments,Environment,security,Critical,Check Stripe secret/public key usage. Confirm backend-only secrets never reach the frontend and test/live modes cannot mix silently.
TX-AUDIT-028,Fees,Service charges,money_integrity,Critical,Find every service fee/customer fee/platform fee calculation. Confirm naming is consistent and no field is double-counted in totals or revenue reports.
TX-AUDIT-029,Fees,Store commission,money_integrity,Critical,Audit storeCommissionCents semantics. Confirm it represents platform share of subtotal and is not confused with customer service fee.
TX-AUDIT-030,Fees,Delivery fee,money_integrity,Critical,"Trace deliveryFeeCents from checkout through order, vendor reporting, driver/provider dispatch, and payout. Confirm pass-through vs platform revenue treatment."
TX-AUDIT-031,Fees,Tips,money_integrity,Critical,"Trace tipCents. Confirm tips are never counted as platform revenue, affiliate revenue, or store commission unless intentionally designed."
TX-AUDIT-032,Fees,Taxes,compliance,Critical,"Audit taxCents handling. Confirm tax is calculated by a trusted source or clearly deferred, and never derived as total minus subtotal."
TX-AUDIT-033,Fees,Discounts,money_integrity,High,"Audit promotion/discount calculations. Confirm discounts cannot make totals negative, bypass minimums, or reduce taxes/fees incorrectly."
TX-AUDIT-034,Fees,Rounding,rounding,High,"Document rounding rules for percentage fees, commissions, discounts, and affiliate payouts. Add tests for $0.01, $0.99, and high-value orders."
TX-AUDIT-035,Fees,Revenue reports,code_drift,High,"Compare platformGrossRevenueCents, storeCommissionCents, serviceFeeCents, customerServiceFeeCents, and similar names. Flag duplicates and misleading terms."
TX-AUDIT-036,Fees,Cart display,ux_money,High,Compare cart UI totals to checkout server totals. Identify places where estimated totals could mislead customers before payment.
TX-AUDIT-037,Fees,Vendor finance,money_integrity,Critical,"Confirm vendor payout calculations exclude platform fees, customer service fees, tax, tips, provider delivery pass-throughs, and canceled/refunded orders."
TX-AUDIT-038,Stores,Store readiness,authorization,High,Audit store readiness routes and frontend gating. Confirm only authorized vendors/staff/admins can view or change readiness-sensitive store data.
TX-AUDIT-039,Stores,Publishing,state_machine,Critical,"Verify stores cannot be published unless required fields, media, active products, address, payment readiness, and operational settings pass readiness checks."
TX-AUDIT-040,Stores,Store ownership,authorization,Critical,Audit every store update/delete/settings endpoint for owner/team/admin access. Confirm random vendors cannot edit other stores.
TX-AUDIT-041,Stores,Team permissions,authorization,Critical,"Map team permission scopes: settings, team, analytics, finance, dispatch, content, orders. Verify each route uses the right scope."
TX-AUDIT-042,Stores,Store selector,code_drift,Medium,Compare store selector data source across vendor pages. Confirm owned stores and manageable team stores behave consistently.
TX-AUDIT-043,Stores,Store search,eligibility,High,"Audit public store listing eligibility. Confirm unpublished, inactive, disabled, or unreadiness-blocked stores are hidden from customers."
TX-AUDIT-044,Stores,Store hours,logic,Medium,"Review open/closed logic for timezone, overnight hours, missing hours, and temporary closures."
TX-AUDIT-045,Stores,Geocoding,data_integrity,High,"Trace address to lat/lng persistence. Confirm delivery/search functions handle missing, invalid, or stale coordinates safely."
